"";"V1"
"1";0,0542
"2";0,0694
"3";0,1657
"4";0,1698
"5";0,1976
"6";0,2101
"7";0,2992
"8";0,3123
"9";0,336
"10";0,4756
"11";0,8568
"12";1,1849
"13";1,3099
"14";1,338
"15";1,5885
"16";1,7933
"17";1,9157
"18";2,1446
"19";2,3168
"20";2,3786
"21";2,4304
"22";2,5205
"23";2,6384
"24";2,706
"25";2,7744
"26";2,8021
"27";2,8979
"28";3,0106
"29";3,0412
"30";3,1561
"31";3,1861
"32";3,2431
"33";3,4587
"34";3,6061
"35";3,6473
"36";3,7531
"37";3,8104
"38";4,0704
"39";4,1035
"40";4,1051
"41";4,1111
"42";4,1231
"43";4,1867
"44";4,1937
"45";4,2515
"46";4,2734
"47";4,3048
"48";4,3515
"49";4,3624
"50";4,4331
"51";4,4349
"52";4,4403
"53";4,4414
"54";4,4536
"55";4,4581
"56";4,4798
"57";4,4837
"58";4,5342
"59";4,5565
"60";4,5702
"61";4,9459
"62";5,2547
"63";5,3443
"64";5,3578
"65";5,5509
"66";5,9401
"67";6,3267
"68";6,4697
"69";6,6226
"70";6,9303
"71";6,9809
"72";7,3623
"73";7,7865
"74";8,1034
"75";8,1449
"76";8,3357
"77";8,3403
"78";8,727
"79";8,7536
"80";8,7572
"81";8,7866
"82";8,9076
"83";9,0065
"84";9,4041
"85";9,5938
"86";9,7155
"87";9,7973
"88";9,8649
"89";9,8724
"90";9,9725
"91";10,0057
"92";10,1453
"93";10,2537
"94";10,4034
"95";10,5036
"96";10,9201
"97";10,9704
"98";11,1296
"99";11,4282
"100";11,7458
"101";12,0065
"102";12,162
"103";12,1767
"104";12,1798
"105";12,2451
"106";12,765
"107";12,8214
"108";12,833
"109";12,9329
"110";12,943
"111";13,3454
"112";13,4021
"113";13,6011
"114";13,7649
"115";13,8302
"116";14,6937
"117";14,8322
"118";14,8342
"119";14,8693
"120";14,9057
"121";15,5252
"122";15,605
"123";15,6549
"124";15,6713
"125";15,7231
"126";15,8223
"127";15,8638
