"";"V1"
"1";0,0402
"2";0,1291
"3";0,1807
"4";0,2099
"5";0,2935
"6";0,3625
"7";0,4278
"8";0,4867
"9";0,526
"10";0,5689
"11";0,7026
"12";0,7206
"13";0,7366
"14";0,7449
"15";0,7621
"16";0,8356
"17";0,8396
"18";1,0504
"19";1,0654
"20";1,1734
"21";1,1909
"22";1,199
"23";1,3241
"24";1,3522
"25";1,3642
"26";1,3959
"27";1,4261
"28";1,7569
"29";1,776
"30";1,8572
"31";1,9197
"32";2,5132
"33";2,6487
"34";2,7018
"35";2,7128
"36";2,8975
"37";2,9899
"38";2,9944
"39";2,9976
"40";3,1704
"41";3,269
"42";3,3479
"43";3,407
"44";3,5666
"45";3,6923
"46";4,0205
"47";4,0554
"48";4,1841
"49";4,2027
"50";4,2244
"51";4,2614
"52";4,3113
"53";4,3502
"54";4,3926
"55";4,3949
"56";4,4012
"57";4,6992
"58";4,7287
"59";4,7595
"60";4,7693
"61";4,8163
"62";5,0475
"63";5,1387
"64";5,1728
"65";5,205
"66";5,2187
"67";5,2604
"68";5,3268
"69";5,3923
"70";5,4083
"71";5,469
"72";6,0031
"73";6,1081
"74";6,1098
"75";6,1433
"76";6,1733
"77";6,1807
"78";6,1828
"79";6,2908
"80";6,3033
"81";6,3757
"82";6,4171
"83";6,4376
"84";6,6271
"85";6,6945
"86";6,7195
"87";6,7513
"88";7,3845
"89";7,8113
"90";7,8968
"91";7,992
"92";8,7128
"93";8,8818
"94";9,1516
"95";9,1668
"96";9,2858
"97";9,3007
"98";9,3822
"99";9,3982
"100";9,4683
"101";9,5624
"102";9,7954
"103";9,8525
"104";10,0158
"105";10,0221
"106";10,2764
"107";10,5226
"108";10,6137
"109";10,617
"110";10,6195
"111";11,2818
"112";11,7332
"113";11,75
"114";11,7564
"115";13,017
"116";13,2763
"117";13,3483
"118";13,3545
"119";13,3804
"120";13,547
"121";13,7349
"122";13,8504
"123";13,9148
"124";14,1054
"125";14,14
"126";14,4546
"127";14,6264
"128";14,7511
"129";14,7573
"130";14,8867
"131";14,9894
"132";14,9959
"133";15,126
"134";15,1515
"135";15,5636
"136";15,9052
"137";15,96
"138";15,9704
"139";16,0658
"140";16,1716
"141";16,2762
"142";16,7956
"143";17,1946
"144";17,2254
"145";17,2829
"146";17,3267
"147";17,3445
"148";17,3497
"149";17,3733
"150";17,4491
"151";17,5618
"152";17,6098
"153";17,6196
"154";17,6704
"155";17,8823
"156";18,2174
"157";18,52
"158";18,5882
"159";18,5927
"160";18,6237
"161";18,6326
"162";18,7093
"163";18,7551
"164";19,0851
"165";19,1842
"166";19,2015
"167";19,2172
"168";19,2767
"169";19,417
"170";19,5703
"171";19,5963
"172";19,7302
"173";19,8632
"174";20,1585
"175";20,2207
"176";20,3036
"177";20,7734
"178";20,8043
"179";20,8072
"180";20,8463
"181";20,8524
"182";20,8911
"183";21,0111
"184";21,4286
"185";21,452
"186";21,5395
"187";21,5592
"188";21,561
"189";21,5686
"190";21,5929
"191";21,7105
"192";21,9363
"193";21,9739
"194";22,3506
"195";22,4645
"196";22,8634
"197";23,0285
"198";23,097
"199";23,2288
"200";23,3138
"201";23,4622
"202";23,565
"203";23,7821
"204";24,1225
"205";24,4935
"206";24,7522
"207";24,8368
"208";24,8678
"209";24,8961
"210";24,9184
"211";25,0696
"212";25,1614
"213";25,1686
"214";25,7354
"215";25,8804
"216";25,8905
"217";26,0053
"218";26,1885
"219";26,4066
"220";26,4575
"221";26,5435
"222";26,5946
"223";26,6656
"224";26,7663
"225";27,1416
"226";27,1793
"227";27,2051
"228";27,2913
"229";27,7646
"230";27,9758
"231";28,168
"232";28,2461
"233";28,4273
"234";28,516
"235";28,6405
"236";28,8758
"237";29,0562
"238";29,0625
"239";29,1756
"240";29,2222
"241";29,2964
"242";29,364
"243";30,1026
"244";30,1081
"245";30,142
"246";30,4952
"247";30,5644
"248";30,61
"249";30,6254
"250";30,6281
"251";30,663
"252";30,6695
"253";30,7341
"254";30,7946
"255";30,8287
"256";30,9278
"257";30,9887
"258";31,0698
"259";31,1422
"260";31,2907
"261";31,8967
"262";31,9109
"263";31,9415
"264";32,2683
"265";32,3066
"266";32,3649
"267";32,3815
"268";32,6938
"269";32,775
"270";32,8284
"271";32,8785
"272";32,9466
"273";33,1197
"274";33,3161
"275";33,3629
"276";33,8743
"277";33,9127
"278";34,36
"279";34,4515
"280";34,476
"281";34,4845
"282";34,5067
"283";34,6199
"284";35,025
"285";35,5633
"286";35,6133
"287";35,6797
"288";35,7072
"289";35,7262
"290";35,7595
"291";35,7939
"292";36,0364
"293";36,3356
"294";36,3438
"295";37,4431
"296";37,459
"297";37,7868
"298";37,95
"299";38,0438
"300";38,07
"301";38,3972
"302";38,4224
"303";38,6821
"304";38,6923
"305";38,7329
"306";38,7408
"307";38,7702
"308";38,8036
"309";38,8552
"310";38,8715
"311";39,1098
"312";39,1287
"313";39,132
"314";39,4529
"315";39,4733
"316";39,4911
"317";39,5688
"318";39,6855
"319";39,7478
"320";39,8192
"321";39,8511
"322";40,6247
"323";40,7206
"324";40,9396
"325";41,2548
"326";41,2758
"327";41,2806
"328";41,6222
"329";41,6296
"330";41,6526
"331";41,67
"332";41,673
"333";41,6962
"334";41,7829
"335";41,787
"336";41,9756
"337";42,0951
"338";42,1144
"339";42,1875
"340";42,3278
"341";42,3532
"342";42,3654
"343";42,3833
"344";42,4188
"345";42,454
"346";42,608
"347";42,6652
"348";42,7018
"349";43,0296
"350";43,0832
"351";43,3352
"352";43,4245
"353";43,5816
"354";43,597
"355";43,6105
"356";43,626
"357";43,6372
"358";43,8667
"359";44,1518
"360";44,1831
"361";44,2054
"362";44,2209
"363";44,2505
"364";44,285
"365";44,3014
"366";44,3296
"367";44,3548
"368";44,3979
"369";44,546
"370";44,7911
"371";44,8139
"372";44,9005
"373";44,9705
"374";45,1222
"375";45,4579
"376";45,5875
"377";45,6373
"378";45,7857
"379";45,8921
"380";46,0408
"381";46,0815
"382";46,1134
"383";46,2188
"384";46,3741
"385";46,6976
"386";47,0476
"387";47,4393
"388";47,5215
"389";47,536
"390";47,5557
"391";47,5816
"392";47,6407
"393";47,6479
"394";47,666
"395";47,6692
"396";47,9828
"397";47,9851
"398";48,0182
"399";48,0365
"400";48,0744
"401";48,4097
"402";48,4204
"403";48,5543
"404";48,5608
"405";48,8087
"406";48,8499
"407";49,0472
"408";49,0844
"409";49,2782
"410";49,2902
"411";49,2938
"412";49,5074
"413";49,5491
"414";49,5913
"415";49,8811
"416";50,0353
"417";50,211
"418";50,8626
"419";51,2353
"420";51,2429
"421";51,3513
"422";51,6419
"423";51,7176
"424";52,0827
"425";52,1445
"426";52,1759
"427";52,7341
"428";52,7963
"429";52,887
"430";52,94
"431";53,0945
"432";54,1405
"433";54,2082
"434";54,2462
"435";54,3501
"436";54,4515
"437";54,5944
"438";54,6123
"439";54,6881
"440";54,7727
"441";54,8105
"442";55,113
"443";55,2104
"444";55,4098
"445";55,6148
"446";56,0259
"447";56,1196
"448";56,2149
"449";56,2283
"450";56,4078
"451";56,4832
"452";56,861
"453";57,0009
"454";57,0026
"455";57,1379
"456";57,48
"457";57,5374
"458";57,5985
"459";57,6439
"460";57,7612
"461";57,8631
"462";58,0195
"463";58,0707
"464";58,1243
"465";58,4346
"466";58,707
"467";58,732
"468";58,7633
"469";58,7763
"470";58,8182
"471";59,1049
"472";59,2382
"473";59,3387
"474";59,3491
"475";59,3961
"476";59,6421
"477";60,0366
"478";60,1803
"479";60,3375
"480";60,4751
"481";60,7339
"482";60,7572
"483";60,7634
"484";60,9109
"485";60,9275
"486";60,9841
"487";61,2955
"488";61,3391
"489";61,4009
"490";61,4518
"491";61,4864
"492";61,4914
"493";61,5545
"494";61,5642
"495";61,6471
"496";61,6701
"497";61,6739
"498";61,7033
